HCLIM variable name;HCLIM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
va900;va900;va900;;;PressureLevel;1;;point;mean;mean;mean;90000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
va850;va850;va850;;;PressureLevel;1;;point;mean;mean;mean;85000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
va775;va775;va775;;;PressureLevel;1;;point;mean;mean;mean;77500;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
va700;va700;va700;;;PressureLevel;1;;point;mean;mean;mean;70000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
va600;va600;va600;;;PressureLevel;1;;point;mean;mean;mean;60000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
va500;va500;va500;;;PressureLevel;1;;point;mean;mean;mean;50000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
va350;va350;va350;;;PressureLevel;1;;point;mean;mean;mean;35000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
va200;va200;va200;;;PressureLevel;1;;point;mean;mean;mean;20000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
va50m;va50m;va50m;;;ZLevel;1;;point;mean;mean;mean;50;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind at 50m;;northward_wind;;atmos;
va100m;va100m;va100m;;;ZLevel;1;;point;mean;mean;mean;100;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind at 100m;;northward_wind;;atmos;
va200m;va200m;va200m;;;ZLevel;1;;point;mean;mean;mean;200;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind at 200m;;northward_wind;;atmos;
va300m;va300m;va300m;;;ZLevel;1;;point;mean;mean;mean;300;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind at 300m;;northward_wind;;atmos;
va400m;va400m;va400m;;;ZLevel;1;;point;mean;mean;mean;400;m s-1;;8;i;1;8;1;m*8;1;s*8;;Northward Wind at 400m;;northward_wind;;atmos;
pr;pr;pr;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;24;a;1;24;1;m*24;1;s*24;;Precipitation;;precipitation_flux;;atmos;
tas;tas;tas;;;ModelLevel;1;;point;mean;mean;mean;2;K;;24;i;1;24;1;m*24;1;s*24;;Near-Surface Air Temperature;;air_temperature;;atmos;
tasmax;tasmax;tasmax;;;ModelLevel;1;;point;maximum;maximum within days time: mean over days;maximum within days time: mean over days;2;K;;4;i;1;4;1;m*4;1;s*4;;Daily Maximum Near-Surface Air Temperature;;air_temperature;;atmos;
tasmin;tasmin;tasmin;;;ModelLevel;1;;point;minimum;minimum within days time: mean over days;minimum within days time: mean over days;2;K;;4;i;1;4;1;m*4;1;s*4;;Daily Minimum Near-Surface Air Temperature;;air_temperature;;atmos;
clt;clt;clt;;;ModelLevel;100;;point;mean;mean;mean;0;%;;24;i;1;24;1;m*24;1;s*24;;Total Cloud Fraction;;cloud_area_fraction;;atmos;
clwvi;clwvi;clwvi;;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;1;24;1;m*24;1;s*24;;Condensed Water Path;;atmosphere_cloud_condensed_water_content;;atmos;
clivi;clivi;clivi;;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;1;24;1;m*24;1;s*24;;Ice Water Path;;atmosphere_cloud_ice_content;;atmos;
pcin;pcin;CIN;;;ModelLevel;1;;point;maximum;;;0;J kg-1;;24;i;1;24;;;;;;2-D Maximum convective inhibition;pcin;atmosphere_convective_inhibition_wrt_surface;;atmos;
pcape;pcape;CAPE;;;ModelLevel;1;;point;maximum;;;0;J kg-1;;24;i;1;24;;;;;;2-D Maximum convective available potential energy;pcape;atmosphere_convective_available_potential_energy_wrt_surface;;atmos;
hfls;hfls;hfls;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;W m-2;;24;a;;;;;;;;Surface Upward Latent Heat Flux;;surface_upward_latent_heat_flux;up;atmos;
hfss;hfss;hfss;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;W m-2;;24;a;;;;;;;;Surface Upward Sensible Heat Flux;;surface_upward_sensible_heat_flux;up;atmos;
hus1000;hus1000;hus1000;;;PressureLevel;1;;point;mean;mean;mean;100000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
hus925;hus925;hus925;;;PressureLevel;1;;point;mean;mean;mean;92500;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
hus850;hus850;hus850;;;PressureLevel;1;;point;mean;mean;mean;85000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
hus700;hus700;hus700;;;PressureLevel;1;;point;mean;mean;mean;70000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
hus500;hus500;hus500;;;PressureLevel;1;;point;mean;mean;mean;50000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
hus200;hus200;hus200;;;PressureLevel;1;;point;mean;mean;mean;20000;1;;8;i;1;8;1;m*8;1;s*8;;Specific Humidity;;specific_humidity;;atmos;
huss;huss;huss;;;ModelLevel;1;;point;mean;mean;mean;2;1;;24;i;1;24;1;m*24;1;s*24;;Near-Surface Specific Humidity;;specific_humidity;;atmos;
hurs;hurs;hurs;;;ModelLevel;100;;point;mean;mean;mean;2;%;;8;i;1;8;1;m*8;1;s*8;;Near-Surface Relative Humidity;;relative_humidity;;atmos;
prw;prw;prw;;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;1;24;1;m*24;1;s*24;;Water Vapor Path;;atmosphere_water_vapor_content;;atmos;
ps;ps;ps;;;ModelLevel;1;;point;mean;mean;mean;0;Pa;;24;i;1;24;1;m*24;1;s*24;;Surface Air Pressure;;surface_air_pressure;;atmos;
psl;psl;psl;;;ModelLevel;1;;point;mean;mean;mean;0;Pa;;8;i;1;8;1;m*8;1;s*8;;Sea Level Pressure;;air_pressure_at_sea_level;;atmos;
rlds;rlds;rlds;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Downwelling Longwave Radiation;;surface_downwelling_longwave_flux_in_air;down;atmos;
rlus;rlus;rlus;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Upwelling Longwave Radiation;;surface_upwelling_longwave_flux_in_air;up;atmos;
rsds;rsds;rsds;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Downwelling Shortwave Radiation;;surface_downwelling_shortwave_flux_in_air;down;atmos;
rsus;rsus;rsus;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Upwelling Shortwave Radiation;;surface_upwelling_shortwave_flux_in_air;up;atmos;
phi1000;phi1000;zg1000;;;PressureLevel;0.101971621;;point;mean;mean;mean;100000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
phi925;phi925;zg925;;;PressureLevel;0.101971621;;point;mean;mean;mean;92500;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
phi850;phi850;zg850;;;PressureLevel;0.101971621;;point;mean;mean;mean;85000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
phi700;phi700;zg700;;;PressureLevel;0.101971621;;point;mean;mean;mean;70000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
phi500;phi500;zg500;;;PressureLevel;0.101971621;;point;mean;mean;mean;50000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
phi200;phi200;zg200;;;PressureLevel;0.101971621;;point;mean;mean;mean;20000;m;;4;i;1;4;1;m*4;1;s*4;;Geopotential Height;;geopotential_height;;atmos;
ta1000;ta1000;ta1000;;;PressureLevel;1;;point;mean;mean;mean;100000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
ta925;ta925;ta925;;;PressureLevel;1;;point;mean;mean;mean;92500;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
ta850;ta850;ta850;;;PressureLevel;1;;point;mean;mean;mean;85000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
ta700;ta700;ta700;;;PressureLevel;1;;point;mean;mean;mean;70000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
ta500;ta500;ta500;;;PressureLevel;1;;point;mean;mean;mean;50000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
ta200;ta200;ta200;;;PressureLevel;1;;point;mean;mean;mean;20000;K;;8;i;1;8;1;m*8;1;s*8;;Air Temperature;;air_temperature;;atmos;
rsns;rsns;rsns;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Net Shortwave Radiation;;surface_net_shortwave_flux_in_air;down;atmos;
rlns;rlns;rlns;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Net Longwave Radiation;;surface_net_longwave_flux_in_air;down;atmos;
rsdt;rsdt;rsdt;;;ModelLevel;0.000046296;;mean;mean;mean;mean;0;W m-2;;4;a;1;4;1;m*4;1;s*4;;TOA Incident Shortwave Radiation;;toa_incoming_shortwave_flux;down;atmos;
rlnt;rlnt;rlnt;;;ModelLevel;0.000046296;;mean;mean;mean;mean;0;W m-2;;4;a;1;4;1;m*4;1;s*4;;TOA Net Longwave Radiation;;toa_net_longwave_flux;down;atmos;
rsnt;rsnt;rsnt;;;ModelLevel;0.000046296;;mean;mean;mean;mean;0;W m-2;;4;a;1;4;1;m*4;1;s*4;;TOA Net Shortwave Radiation;;toa_net_shortwave_flux;down;atmos;
mrso;mrso;mrso;;;ModelLevel;1;;point;mean;mean;mean;14;kg m-2;;8;i;1;8;1;m*8;1;s*8;;Total Soil Moisture Content;Sum over 14 levels down to 12 m;soil_moisture_content;;land;
mrfso;mrfso;mrfso;;;ModelLevel;1;;point;mean;mean;mean;14;kg m-2;;8;i;1;8;1;m*8;1;s*8;;Total Soil Ice Content;Sum over 14 levels down to 12 m;soil_ice_content;;land;
mrsol;wsa_L01;mrsol;;;ModelLevel;1;;point;mean;mean;mean;1;kg m-2;;8;i;1;4;1;m*8;1;s*8;;Total Water Content of Soil Layer;depth of first soil layer: 1.0 cm;moisture_content_of_soil_layer;;land;
ts_rad;ts_rad;ts;;;ModelLevel;1;;point;mean;mean;mean;0;K;;24;i;1;24;1;m*24;1;s*24;;Surface Temperature;;surface_temperature;;atmos;
wsgsmax;wsgsmax;wsgsmax;;;ModelLevel;1;;maximum;maximum;maximum within days time: mean over days;maximum within days time: mean over days;10;m s-1;;24;i;1;24;1;m*24;1;s*24;;Maximum Near-Surface Wind Speed of Gust;;wind_speed_of_gust;;atmos;
sfcWindmax;sfcWindmax;sfcWindmax;;;ModelLevel;1;;maximum;maximum;maximum within days time: mean over days;maximum within days time: mean over days;10;m s-1;;8;i;1;8;1;m*8;1;s*8;;Daily Maximum Near-Surface Wind Speed;;wind_speed;;atmos;
sncl;sncl;snc;;;ModelLevel;100;;point;mean;mean;mean;0;%;;8;i;1;8;1;m*8;1;s*8;;Snow Area Fraction;;surface_snow_area_fraction;;landIce land;
snd;snd;snd;;;ModelLevel;1;;point;mean;mean;mean;0;m;;8;i;1;8;1;m*8;1;s*8;;Snow Depth;;surface_snow_thickness;;landIce land;
prrain;prrain;prra;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;24;a;1;24;1;m*24;1;s*24;;Rainfall Flux;;rainfall_flux;;atmos;
mrros;mrros;mrros;;;ModelLevel;0.000092593;;mean;mean;mean;mean;0;kg m-2 s-1;;8;a;1;8;1;m*8;1;s*8;;Surface Runoff;;surface_runoff_flux;;land;
mrro;mrro;mrro;;;ModelLevel;0.000092593;;mean;mean;mean;mean;0;kg m-2 s-1;;8;a;1;8;1;m*8;1;s*8;;Total Runoff;;runoff_flux;;land;
evspsbl;evspsbl;evspsbl;;;ModelLevel;9.2593E-05;;mean;mean;mean;mean;0;kg m-2 s-1;;8;a;1;8;1;m*8;1;s*8;;Evaporation;;water_evaporation_flux;;atmos;
zmla;zmla;zmla;;;ModelLevel;1;;point;mean;mean;mean;0;m;;8;i;1;8;1;m*8;1;s*8;;Height of Boundary Layer;;atmosphere_boundary_layer_thickness;;atmos;
